 4.40  -0.2619101E+02  -0.2106730E+01  -0.6267999E+00  -0.1080906E+01   0.5355769E+00  -0.9487674E+00   0.1777457E+00  -0.1637707E+00  -0.1383208E+00  -0.1003662E-01   0.1029611E-01  -0.1962646E-01
 4.50  -0.2292166E+02  -0.1870324E+01  -0.5568011E+00  -0.8686700E+00   0.4619681E+00  -0.8099812E+00   0.1560773E+00  -0.1431051E+00  -0.1075847E+00  -0.8793961E-02   0.8040937E-02  -0.1658771E-01
 4.60  -0.2007260E+02  -0.1656369E+01  -0.4956797E+00  -0.7043438E+00   0.3978632E+00  -0.6909811E+00   0.1363037E+00  -0.1244090E+00  -0.8344617E-01  -0.7551699E-02   0.6174897E-02  -0.1385442E-01
 4.70  -0.1759655E+02  -0.1465247E+01  -0.4424996E+00  -0.5764724E+00   0.3426301E+00  -0.5897230E+00   0.1187267E+00  -0.1078831E+00  -0.6462158E-01  -0.6373872E-02   0.4658980E-02  -0.1145832E-01
 4.80  -0.1544775E+02  -0.1295805E+01  -0.3962490E+00  -0.4763272E+00   0.2953325E+00  -0.5039473E+00   0.1033449E+00  -0.9347764E-01  -0.5003019E-01  -0.5295931E-02   0.3445056E-02  -0.9395858E-02
 4.90  -0.1358380E+02  -0.1146175E+01  -0.3559466E+00  -0.3972944E+00   0.2549503E+00  -0.4314468E+00   0.9000298E-01  -0.8101988E-01  -0.3877962E-01  -0.4334621E-02   0.2484564E-02  -0.7644784E-02
 5.00  -0.1196651E+02  -0.1014255E+01  -0.3206994E+00  -0.3343822E+00   0.2204984E+00  -0.3702003E+00   0.7847978E-01  -0.7028827E-01  -0.3014421E-01  -0.3494631E-02   0.1732792E-02  -0.6174174E-02
 5.10  -0.1056211E+02  -0.8979678E+00  -0.2897261E+00  -0.2838321E+00   0.1910832E+00  -0.3184269E+00   0.6853876E-01  -0.6105443E-01  -0.2354106E-01  -0.2773075E-02   0.1150629E-02  -0.4950263E-02
 5.20  -0.9341125E+01  -0.7953940E+00  -0.2623629E+00  -0.2428170E+00   0.1659246E+00  -0.2745958E+00   0.5995457E-01  -0.5310440E-01  -0.1850681E-01  -0.2162525E-02   0.7049273E-03  -0.3939733E-02
 5.30  -0.8278029E+01  -0.7048212E+00  -0.2380563E+00  -0.2092088E+00   0.1443562E+00  -0.2374120E+00   0.5252535E-01  -0.4624809E-01  -0.1467638E-01  -0.1653051E-02   0.3681651E-03  -0.3111449E-02
 5.40  -0.7350853E+01  -0.6247537E+00  -0.2163515E+00  -0.1814025E+00   0.1258176E+00  -0.2057909E+00   0.4607678E-01  -0.4032176E-01  -0.1176443E-01  -0.1233588E-02   0.1177991E-03  -0.2437265E-02
 5.50  -0.6540754E+01  -0.5538989E+00  -0.1968774E+00  -0.1581832E+00   0.1098410E+00  -0.1788300E+00   0.4046167E-01  -0.3518694E-01  -0.9549554E-02  -0.8928478E-03  -0.6446883E-04  -0.1892287E-02
 5.60  -0.5831606E+01  -0.4911437E+00  -0.1793329E+00  -0.1386263E+00   0.9603742E-01  -0.1557809E+00   0.3555732E-01  -0.3072773E-01  -0.7861113E-02  -0.6198913E-03  -0.1934010E-03  -0.1454838E-02
 5.70  -0.5209624E+01  -0.4355295E+00  -0.1634729E+00  -0.1220238E+00   0.8408366E-01  -0.1360234E+00   0.3126206E-01  -0.2684748E-01  -0.6568452E-02  -0.4044924E-03  -0.2808577E-03  -0.1106266E-02
 5.80  -0.4663023E+01  -0.3862277E+00  -0.1490975E+00  -0.1078287E+00   0.7371050E-01  -0.1190434E+00   0.2749174E-01  -0.2346551E-01  -0.5572154E-02  -0.2373362E-03  -0.3363381E-03  -0.8306656E-03
 5.90  -0.4181723E+01  -0.3425182E+00  -0.1360416E+00  -0.9561500E-01   0.6469293E-01  -0.1044140E+00   0.2417645E-01  -0.2051429E-01  -0.4797041E-02  -0.1101119E-03  -0.3674308E-03  -0.6145866E-03
 6.00  -0.3757096E+01  -0.3037715E+00  -0.1241677E+00  -0.8504741E-01   0.5684197E-01  -0.9177985E-01   0.2125776E-01  -0.1793688E-01  -0.4186613E-02  -0.1553068E-04  -0.3801805E-03  -0.4467316E-03
 6.10  -0.3381746E+01  -0.2694341E+00  -0.1133593E+00  -0.7585919E-01   0.4999803E-01  -0.8084400E-01   0.1868638E-01  -0.1568492E-01  -0.3698669E-02   0.5270444E-04  -0.3793865E-03  -0.3176761E-03
 6.20  -0.3049323E+01  -0.2390166E+00  -0.1035162E+00  -0.6783589E-01   0.4402561E-01  -0.7135777E-01   0.1642037E-01  -0.1371708E-01  -0.3301882E-02   0.9996070E-04  -0.3688426E-03  -0.2196076E-03
 6.30  -0.2754367E+01  -0.2120844E+00  -0.9455093E-01  -0.6080330E-01   0.3880903E-01  -0.6311202E-01   0.1442365E-01  -0.1199769E-01  -0.2973143E-02   0.1307556E-03  -0.3515303E-03  -0.1460922E-03
 6.40  -0.2492175E+01  -0.1882502E+00  -0.8638579E-01  -0.5461843E-01   0.3424909E-01  -0.5593029E-01   0.1266490E-01  -0.1049585E-01  -0.2695508E-02   0.1488458E-03  -0.3297749E-03  -0.9186538E-04
 6.50  -0.2258685E+01  -0.1671684E+00  -0.7895119E-01  -0.4916281E-01   0.3026033E-01  -0.4966322E-01   0.1111670E-01  -0.9184565E-02  -0.2456625E-02   0.1573182E-03  -0.3053720E-03  -0.5264872E-04
 6.60  -0.2050388E+01  -0.1485297E+00  -0.7218397E-01  -0.4433744E-01   0.2676889E-01  -0.4418403E-01   0.9754921E-02  -0.8040210E-02  -0.2247542E-02   0.1586791E-03  -0.2796900E-03  -0.2498992E-04
 6.70  -0.1864241E+01  -0.1320574E+00  -0.6602647E-01  -0.4005898E-01   0.2371077E-01  -0.3938478E-01   0.8558149E-02  -0.7042024E-02  -0.2061797E-02   0.1549380E-03  -0.2537540E-03  -0.6124080E-05
 6.80  -0.1697605E+01  -0.1175042E+00  -0.6042573E-01  -0.3625678E-01   0.2103036E-01  -0.3517339E-01   0.7507368E-02  -0.6171734E-02  -0.1894741E-02   0.1476850E-03  -0.2283142E-03   0.6145368E-05
 6.90  -0.1548185E+01  -0.1046490E+00  -0.5533302E-01  -0.3287062E-01   0.1867933E-01  -0.3147108E-01   0.6585628E-02  -0.5413246E-02  -0.1743034E-02   0.1381597E-03  -0.2039022E-03   0.1354828E-04
 7.00  -0.1413982E+01  -0.9329465E-01  -0.5070337E-01  -0.2984889E-01   0.1661558E-01  -0.2821039E-01   0.5777810E-02  -0.4752388E-02  -0.1604265E-02   0.1273129E-03  -0.1808769E-03   0.1743394E-04
 7.10  -0.1293252E+01  -0.8326533E-01  -0.4649534E-01  -0.2714721E-01   0.1480245E-01  -0.2533339E-01   0.5070426E-02  -0.4176686E-02  -0.1476681E-02   0.1158593E-03  -0.1594625E-03   0.1884362E-04
 7.20  -0.1184470E+01  -0.7440470E-01  -0.4267073E-01  -0.2472723E-01   0.1320799E-01  -0.2279030E-01   0.4451453E-02  -0.3675175E-02  -0.1358987E-02   0.1043238E-03  -0.1397794E-03   0.1857117E-04
 7.30  -0.1086301E+01  -0.6657399E-01  -0.3919442E-01  -0.2255576E-01   0.1180438E-01  -0.2053824E-01   0.3910190E-02  -0.3238230E-02  -0.1250207E-02   0.9308008E-04  -0.1218691E-03   0.1721333E-04
 7.40  -0.9975764E+00  -0.5965017E-01  -0.3603416E-01  -0.2060393E-01   0.1056739E-01  -0.1854026E-01   0.3437124E-02  -0.2857421E-02  -0.1149574E-02   0.8238265E-04  -0.1057149E-03   0.1521128E-04
 7.50  -0.9172670E+00  -0.5352445E-01  -0.3316039E-01  -0.1884664E-01   0.9475896E-02  -0.1676447E-01   0.3023820E-02  -0.2525372E-02  -0.1056470E-02   0.7239418E-04  -0.9125797E-04   0.1288447E-04
