*         324.994369    0      1     44         4    6        9.200545D-01
*         324.994369    0      1     44         5    6        2.482633D+00
*         324.994369    0      1     44         7    6        1.881999D+00
*         324.994369    0      1     44         8    6        4.024909D-02
*         324.994369    0      1     44         9    6        1.865908D-01
*         324.994369    0      1     44        10    6        2.891754D-01
*         324.994369    0      1     44         1    7        1.882599D-01
*         324.994369    0      1     44         2    7        4.668175D-02
*         324.994369    0      1     44         3    7        9.454005D-01
*         324.994369    0      1     44         4    7        8.909380D-01
*         324.994369    0      1     44         5    7        1.428242D-01
*         324.994369    0      1     44         6    7        2.535700D+00
*         324.994369    0      1     44         8    7        7.491891D-01
*         324.994369    0      1     44         9    7        4.043521D-01
*         324.994369    0      1     44        10    7        1.618065D-01
*         324.994369    0      1     44         1    8        2.110146D-03
*         324.994369    0      1     44         2    8        6.081242D-02
*         324.994369    0      1     44         3    8        6.570016D-02
*         324.994369    0      1     44         4    8        1.288934D+00
*         324.994369    0      1     44         5    8        1.062717D-01
*         324.994369    0      1     44         6    8        1.626809D-01
*         324.994369    0      1     44         7    8        2.247468D+00
*         324.994369    0      1     44         9    8        1.660167D-01
*         324.994369    0      1     44        10    8        2.747110D-01
*         324.994369    0      1     44         1    9        3.402084D-01
*         324.994369    0      1     44         2    9        2.650236D-01
*         324.994369    0      1     44         3    9        1.849055D-01
*         324.994369    0      1     44         4    9        3.905813D-01
*         324.994369    0      1     44         5    9        2.820791D+00
*         324.994369    0      1     44         6    9        2.197180D-01
*         324.994369    0      1     44         7    9        3.533921D-01
*         324.994369    0      1     44         8    9        4.836675D-02
*         324.994369    0      1     44        10    9        3.904572D-01
*         324.994369    0      1     44         1   10        2.515968D-02
*         324.994369    0      1     44         2   10        6.190901D-02
*         324.994369    0      1     44         3   10        2.576554D-02
*         324.994369    0      1     44         4   10        3.405335D-02
*         324.994369    0      1     44         5   10        2.702354D-01
*         324.994369    0      1     44         6   10        1.414379D+00
*         324.994369    0      1     44         7   10        5.873835D-01
