
  5.05  0.239977601806E+03   -0.714583456509E+02    0.105785807730E+02   -0.188581721227E+03   -0.520673161537E+01    0.920845033158E+02    0.597769097676E+02   -0.353263992273E+01    0.597668180139E+02    0.259917782296E+02    0.319832045235E+02    0.246722907584E+02   -0.131464758557E+02   -0.352168438202E+02   -0.418149766345E+02   -0.319406107146E+02   -0.319347878218E+02   -0.212164337982E+02    0.166986096520E+02   -0.212129425244E+02   -0.141311670706E+02   -0.129234339813E+02    0.124686763911E+02    0.113072619325E+02    0.113054577952E+02    0.955628071359E+01    0.871223525858E+01    0.871054484920E+01   
  5.16  0.177080288104E+03   -0.567328678957E+02    0.865437503096E+01   -0.174631104790E+03   -0.482489164680E+01    0.837102543809E+02    0.535020301501E+02   -0.322218449702E+01    0.534944284261E+02    0.203762441464E+02    0.280447796662E+02    0.213302539792E+02   -0.110040679606E+02   -0.275191371137E+02   -0.366335341481E+02   -0.276037638260E+02   -0.275994612898E+02   -0.177054466008E+02    0.139594614167E+02   -0.177029160158E+02   -0.121046289065E+02   -0.109561224739E+02    0.106699961285E+02    0.958183781170E+01    0.958053088741E+01    0.818316173353E+01    0.740806618591E+01    0.740684177974E+01   
  5.26  0.127302770132E+03   -0.447962765854E+02    0.705611364369E+01   -0.162168214883E+03   -0.448383307725E+01    0.763561756091E+02    0.480643526987E+02   -0.294806147870E+01    0.480585868221E+02    0.158999230671E+02    0.247096614226E+02    0.185322621987E+02   -0.925840036969E+01   -0.213736054890E+02   -0.322539868510E+02   -0.239789544149E+02   -0.239757520857E+02   -0.148646915928E+02    0.117346431707E+02   -0.148628433366E+02   -0.104288865533E+02   -0.934012171552E+01    0.918465354238E+01    0.816647026212E+01    0.816551621207E+01    0.704975036943E+01    0.633264089143E+01    0.633174735165E+01   
  5.37  0.881180149603E+02   -0.351481967920E+02    0.572854662755E+01   -0.150991926492E+03   -0.417804329675E+01    0.698655977406E+02    0.433269620047E+02   -0.270631170406E+01    0.433225600555E+02    0.123388676034E+02    0.218688446054E+02    0.161763645765E+02   -0.782785017100E+01   -0.164774776641E+02   -0.285294410283E+02   -0.209302024645E+02   -0.209278026556E+02   -0.125491286544E+02    0.991554921786E+01   -0.125477690394E+02   -0.903227241559E+01   -0.800208420802E+01    0.794810808735E+01    0.699546444362E+01    0.699476293277E+01    0.610837969093E+01    0.544074161028E+01    0.544008489271E+01   
  5.47  0.574640052383E+02   -0.273711250376E+02    0.462656192390E+01   -0.140933376068E+03   -0.390206450708E+01    0.641103698073E+02    0.391785198804E+02   -0.249213900977E+01    0.391751385335E+02    0.951067271947E+01    0.194351840733E+02    0.141813022313E+02   -0.664865000006E+01   -0.125849081309E+02   -0.253433192094E+02   -0.183503615322E+02   -0.183485514830E+02   -0.106482230925E+02    0.841851382818E+01   -0.106472161349E+02   -0.785973102442E+01   -0.688620385981E+01    0.691102181734E+01    0.601928563847E+01    0.601876628342E+01    0.532147308965E+01    0.469667604105E+01    0.469619012729E+01   
  5.58  0.336634762077E+02   -0.211189735407E+02    0.371317471393E+01   -0.131850080066E+03   -0.365114968659E+01    0.589854091152E+02    0.355285188379E+02   -0.230095021156E+01    0.355259063472E+02    0.726824772687E+01    0.173391039348E+02    0.124824767201E+02   -0.567113445155E+01   -0.949759197227E+01   -0.226029894718E+02   -0.161549177312E+02   -0.161535441386E+02   -0.907756908982E+01    0.717906847215E+01   -0.907681851487E+01   -0.686881804870E+01   -0.594975273508E+01    0.603548350457E+01    0.520026397005E+01    0.519987697679E+01    0.465950848548E+01    0.407236430720E+01    0.407200247252E+01   
  5.68  0.153555569357E+02   -0.161064242106E+02    0.295783022172E+01   -0.123621081478E+03   -0.342145286836E+01    0.544040491580E+02    0.323031228018E+02   -0.212879846117E+01    0.323010932054E+02    0.549379831276E+01    0.155249097600E+02    0.110284606016E+02   -0.485659539750E+01   -0.705625557924E+01   -0.202344994386E+02   -0.142769083991E+02   -0.142758599564E+02   -0.777236454335E+01    0.614735352999E+01   -0.777180165074E+01   -0.602658608589E+01   -0.515970340000E+01    0.529211866667E+01    0.450941344523E+01    0.450912330413E+01    0.409929288427E+01    0.354571207821E+01    0.354544099714E+01   
  5.79  0.143820719007E+01   -0.120993071055E+02    0.233504537933E+01   -0.116143041412E+03   -0.320998049658E+01    0.502942357268E+02    0.294417009206E+02   -0.197248925082E+01    0.294401158956E+02    0.409336881908E+01    0.139477517271E+02    0.977810754106E+01   -0.417473191814E+01   -0.513323845391E+01   -0.181783627190E+02   -0.126628830919E+02   -0.126620784025E+02   -0.668243018575E+01    0.528453733621E+01   -0.668200558651E+01   -0.530720983174E+01   -0.449021700632E+01    0.465791785861E+01    0.392411391228E+01    0.392389510952E+01    0.362254547824E+01    0.309926913271E+01    0.309906486252E+01   
  5.89 -0.897974577107E+01   -0.890611676965E+01    0.182336520709E+01   -0.109327143624E+03   -0.301444463326E+01    0.465955157585E+02    0.268940488802E+02   -0.182952180248E+01    0.268928048632E+02    0.299212297224E+01    0.125712077136E+02    0.869824526179E+01   -0.360164470716E+01   -0.362623241634E+01   -0.163862754489E+02   -0.112697761610E+02   -0.112691552962E+02   -0.576847851202E+01    0.456008333630E+01   -0.576815645000E+01   -0.469020544979E+01   -0.392080181445E+01    0.411462800950E+01    0.342644229361E+01    0.342627636692E+01    0.321476760293E+01    0.271915796027E+01    0.271900317981E+01   
  6.00 -0.166182059235E+02   -0.637068209530E+01    0.140458407743E+01   -0.103096663236E+03   -0.283309616836E+01    0.432567078880E+02    0.246182236194E+02   -0.169796860247E+01    0.246172425914E+02    0.213040749745E+01    0.113654098521E+02    0.776188608447E+01   -0.311829924151E+01   -0.245313219487E+01   -0.148186094700E+02   -0.100625348914E+02   -0.100620534443E+02   -0.499936347368E+01    0.394970446454E+01   -0.499911788952E+01   -0.415911339080E+01   -0.343497782110E+01    0.364757368869E+01    0.300198110562E+01    0.300185460530E+01    0.286436354077E+01    0.239424165785E+01    0.239412375353E+01   
