 #ENERGY           1
N#_traject     #CHNL=      1 ERR VALUE     #CHNL=      2 ERR VALUE     #CHNL=      3 ERR VALUE     #CHNL=      4 ERR VALUE     #CHNL=      5 ERR VALUE     #CHNL=      6 ERR VALUE     #CHNL=      7 ERR VALUE     #CHNL=      8 ERR VALUE     #CHNL=      9 ERR VALUE 
       34      10.190  0.3024741193E+01    16.903  0.8329786507E-01    16.846  0.1414113681E-02    16.902  0.6789571075E-01    12.339  0.1884991152E-02    16.902  0.2580320592E-03    16.862  0.2017462393E-02    16.735  0.2095614728E-03    16.898  0.1458518513E-03
       35       6.270  0.3057607243E+01    16.662  0.8098465137E-01    16.068  0.1376206099E-02    16.660  0.6601043651E-01     4.406  0.1870861097E-02    16.660  0.2508671428E-03    16.258  0.1962759829E-02    16.316  0.2038595476E-03    16.655  0.1418031131E-03
       36       9.708  0.3008261374E+01     5.931  0.8180438205E-01     2.209  0.1371089271E-02     6.329  0.6672402776E-01     8.961  0.1899622579E-02     2.472  0.2519194934E-03     2.437  0.1970873788E-02    11.106  0.2077582408E-03    28.101  0.1488717200E-03
       37      14.847  0.2935646317E+01    14.200  0.8378663471E-01    51.525  0.1499841714E-02     0.178  0.6674381067E-01    19.106  0.1962080336E-02    59.959  0.2798779122E-03    69.358  0.2228371552E-02    34.674  0.2204959058E-03    12.211  0.1519632347E-03
       38      15.115  0.2864492536E+01     3.792  0.8431208495E-01    24.098  0.1561689512E-02     5.592  0.6613599300E-01     9.606  0.1993551800E-02    37.029  0.2980132798E-03    40.759  0.2388353520E-02    14.591  0.2259131562E-03     0.229  0.1520204243E-03
       39       2.026  0.2873935007E+01    15.686  0.8222059778E-01    14.546  0.1525700013E-02    15.497  0.6451469880E-01     9.491  0.1963333825E-02    15.639  0.2906422800E-03    15.097  0.2331276866E-02    15.229  0.2204684680E-03    15.769  0.1482297942E-03
       40      16.043  0.2949684576E+01    15.617  0.8021521735E-01    15.617  0.1488487817E-02    15.617  0.6294116956E-01    15.617  0.1915447634E-02    15.617  0.2835534439E-03    15.617  0.2274416454E-02    15.617  0.2150911883E-03    15.617  0.1446144334E-03
       41       5.597  0.2976011550E+01    15.423  0.7830622644E-01    14.542  0.1455043054E-02    15.420  0.6144357119E-01     7.212  0.1893858981E-02    15.423  0.2768052666E-03    14.874  0.2222169930E-02    15.126  0.2100685253E-03    15.417  0.1411741944E-03
       42       5.825  0.2949192266E+01    43.584  0.8402383324E-01     8.437  0.1436126557E-02    52.542  0.6693447044E-01     7.121  0.1873035034E-02     5.230  0.2790841482E-03    12.716  0.2178911843E-02     3.993  0.2113864078E-03     4.881  0.1401063910E-03
       43       7.702  0.2984655724E+01    15.074  0.8211433948E-01    14.892  0.1403876747E-02    15.073  0.6541344999E-01     7.024  0.1852958408E-02    15.073  0.2727423617E-03    14.954  0.2129782553E-02    14.648  0.2067153511E-03    15.071  0.1369230026E-03
       44      14.908  0.3054069567E+01    14.907  0.8028957638E-01    14.907  0.1372679486E-02    14.907  0.6395981777E-01    14.907  0.1811781554E-02    14.907  0.2666814204E-03    14.907  0.2082454052E-02    14.907  0.2021216766E-03    14.907  0.1338802692E-03
       45       5.258  0.3078467344E+01    14.740  0.7854468070E-01    14.154  0.1344008984E-02    14.738  0.6256999802E-01     3.804  0.1801452067E-02    14.738  0.2608862243E-03    14.365  0.2038322844E-02    14.422  0.1978218111E-03    14.731  0.1309724169E-03
       46       4.384  0.3098714021E+01    14.579  0.7687438112E-01    13.567  0.1317372310E-02    14.576  0.6123968320E-01     6.888  0.1783146216E-02    14.579  0.2553383982E-03    13.948  0.1996814825E-02    14.259  0.1937053088E-03    14.572  0.1281884508E-03
       47       9.472  0.3142592445E+01    14.434  0.7527283290E-01    14.422  0.1289949583E-02    14.433  0.5996388443E-01     8.654  0.1760686362E-02    14.434  0.2500188973E-03    14.426  0.1955236258E-02    14.154  0.1897464565E-03    14.428  0.1255188736E-03
       48       5.241  0.3166795940E+01    14.283  0.7373694881E-01    13.908  0.1264306199E-02    14.281  0.5874050085E-01     2.885  0.1753309922E-02    14.281  0.2449180360E-03    14.040  0.1916006835E-02    13.940  0.1859660352E-03    14.280  0.1229583347E-03
       49       1.685  0.3174513658E+01    14.127  0.7226371264E-01    11.446  0.1243763239E-02    14.131  0.5756663381E-01     5.739  0.1738909675E-02    14.107  0.2400316991E-03    12.696  0.1881534847E-02    13.437  0.1824285326E-03    14.134  0.1205004844E-03
