R_Bohr           v_0_0_0_0             v_0_0_2_2             v_0_0_4_4             v_1_0_0_1             v_1_0_2_1             v_1_0_2_2             v_1_0_2_3             v_2_0_0_2             v_2_0_2_0             v_2_0_2_1             v_2_0_2_2             v_2_0_2_3             v_2_0_2_4             v_3_0_0_3             v_3_0_2_1             v_3_0_2_2             v_3_0_2_3             v_3_0_2_4             v_3_0_2_5             v_3_3_0_3             v_3_3_2_1             v_3_3_2_2             v_3_3_2_3             v_3_3_2_4             v_3_3_2_5             v_4_0_0_4             v_4_0_2_2             v_4_0_2_3             v_4_0_2_4             v_4_0_2_5             v_4_0_2_6             v_4_3_0_4             v_4_3_2_2             v_4_3_2_3             v_4_3_2_4             v_4_3_2_5             v_4_3_2_6   
 21.21 -0.107366956884E+01   -0.434354110402E-01   -0.424550239259E-05   -0.164079033446E-01    0.248135438057E-03   -0.140711352114E-17   -0.384928363970E+01   -0.200061396295E-01   -0.554210135543E-06    0.171608692471E-16   -0.165219063766E-04   -0.101859802282E-16   -0.127094918948E+01   -0.149495445798E-01    0.589953294226E-05    0.281075010362E-18   -0.487611009390E-05   -0.885504145834E-18    0.696098192515E-01    0.844557839796E-02    0.606780559648E-06   -0.149353361106E-06   -0.358197618036E-06    0.687425349894E-05   -0.118514954751E+00   -0.325412127803E-03   -0.108308557452E-03   -0.695593890470E-18    0.623874290077E-04   -0.261451652260E-19    0.178932493234E-02    0.126902627757E-03    0.703389225240E-05    0.176454876958E-05   -0.428271982949E-05   -0.190347402285E-05    0.128467422028E-01   
 21.46 -0.996738183273E+00   -0.400904685103E-01   -0.391681140526E-05   -0.150507801896E-01    0.226298977181E-03   -0.134947419854E-17   -0.367140521720E+01   -0.183568999154E-01   -0.480004922939E-06    0.161536372535E-16   -0.156524270304E-04   -0.963693496429E-17   -0.119785143874E+01   -0.136778193977E-01    0.552161578569E-05    0.264711193510E-18   -0.456041691955E-05   -0.823251816485E-18    0.649542739063E-01    0.770047370035E-02    0.562781107452E-06   -0.137667595277E-06   -0.332388031095E-06    0.633185307483E-05   -0.110463747373E+00   -0.294272784517E-03   -0.101905065985E-03   -0.710100290491E-18    0.586886127602E-04   -0.619736399726E-19    0.164912773449E-02    0.114342880827E-03    0.648074401924E-05    0.163706352705E-05   -0.394576909339E-05   -0.175781585264E-05    0.118343816240E-01   
 21.71 -0.926125740553E+00   -0.370378572406E-01   -0.361696920245E-05   -0.138199015547E-01    0.206605645353E-03   -0.129479117788E-17   -0.350368992231E+01   -0.168606456679E-01   -0.415019725189E-06    0.152168086204E-16   -0.148344571476E-04   -0.912308499412E-17   -0.112974180236E+01   -0.125273483629E-01    0.517208053192E-05    0.249555047754E-18   -0.426864543554E-05   -0.766081480354E-18    0.606592280852E-01    0.702870873676E-02    0.522479355441E-06   -0.127015543943E-06   -0.308733855579E-06    0.583786759699E-05   -0.103044408681E+00   -0.266427576649E-03   -0.959519003180E-04   -0.720513950718E-18    0.552506945263E-04   -0.931878927081E-19    0.152136026136E-02    0.103152094202E-03    0.597680496352E-05    0.152025361963E-05   -0.363880790834E-05   -0.162502957237E-05    0.109122890955E-01   
 21.96 -0.861248454161E+00   -0.342490600318E-01   -0.334315164703E-05   -0.127022509922E-01    0.188823778477E-03   -0.124288113684E-17   -0.334544854168E+01   -0.155016415724E-01   -0.358080745964E-06    0.143446953744E-16   -0.140647779842E-04   -0.864182893990E-17   -0.106622760868E+01   -0.114853519823E-01    0.484849737450E-05    0.235500710746E-18   -0.399873192912E-05   -0.713523104104E-18    0.566930471198E-01    0.642233304297E-02    0.485523006104E-06   -0.117295458113E-06   -0.287030988152E-06    0.538748530859E-05   -0.962008342781E-01   -0.241495516146E-03   -0.904124497221E-04   -0.727374515874E-18    0.520523972505E-04   -0.120305783523E-18    0.140479498100E-02    0.931676381994E-04    0.551720100052E-05    0.141310547347E-05   -0.335886449395E-05   -0.150383090955E-05    0.100715012666E-01   
 22.22 -0.801582322373E+00   -0.316986248225E-01   -0.309283905066E-05   -0.116862824381E-01    0.172749012478E-03   -0.119357419411E-17   -0.319604579930E+01   -0.142659260870E-01   -0.308171148782E-06    0.135321294203E-16   -0.133403596813E-04   -0.819078226129E-17   -0.100695112204E+01   -0.105405232137E-01    0.454866906707E-05    0.222452906176E-18   -0.374881152577E-05   -0.665155044286E-18    0.530271915344E-01    0.587433560833E-02    0.451597178683E-06   -0.108416594363E-06   -0.267096876183E-06    0.497642031366E-05   -0.898824669192E-01   -0.219143355877E-03   -0.852534730869E-04   -0.731155707600E-18    0.490744085142E-04   -0.143786187298E-18    0.129833772775E-02    0.842477623766E-04    0.509758886871E-05    0.131471281209E-05   -0.310329086925E-05   -0.139307782854E-05    0.930403362053E-02   
 22.47 -0.746656419773E+00   -0.293638054541E-01   -0.286378040172E-05   -0.107617399335E-01    0.158200805702E-03   -0.114671276249E-17   -0.305489558437E+01   -0.131410943672E-01   -0.264408869347E-06    0.127744096490E-16   -0.126583548381E-04   -0.776775721204E-17   -0.951586084345E+00   -0.968284365993E-02    0.427060640128E-05    0.210325766487E-18   -0.351719709279E-05   -0.620598575664E-18    0.496358836623E-01    0.537852489983E-02    0.420420037772E-06   -0.100297919809E-06   -0.248768014166E-06    0.460085001514E-05   -0.840436933677E-01   -0.199079156579E-03   -0.804447533811E-04   -0.732273532000E-18    0.462991784127E-04   -0.164036058776E-18    0.120101192165E-02    0.762687191121E-04    0.471409320250E-05    0.122426415851E-05   -0.286972444897E-05   -0.129175327187E-05    0.860276409696E-02   
 22.72 -0.696047005856E+00   -0.272242479536E-01   -0.265396213604E-05   -0.991950115033E-02    0.145019436776E-03   -0.110215051438E-17   -0.292145664899E+01   -0.121161098074E-01   -0.226027749906E-06    0.120672549588E-16   -0.120160911400E-04   -0.737074482400E-17   -0.899834632970E+00   -0.890342443461E-02    0.401250649620E-05    0.199041798769E-18   -0.330236057778E-05   -0.579513092045E-18    0.464958133890E-01    0.492942532863E-02    0.391738977280E-06   -0.928669816581E-07   -0.231897755830E-06    0.425736058846E-05   -0.786433126431E-01   -0.181046780067E-03   -0.759587910895E-04   -0.731093418002E-18    0.437107403066E-04   -0.181416599276E-18    0.111194480458E-02    0.691223098555E-04    0.436325165797E-05    0.114103192185E-05   -0.265605455724E-05   -0.119895017174E-05    0.796133165404E-02   
 22.98 -0.649372343530E+00   -0.252617161428E-01   -0.246158083058E-05   -0.915144135839E-02    0.133063408625E-03   -0.105975144719E-17   -0.279522872501E+01   -0.111811401614E-01   -0.192361457807E-06    0.114067624734E-16   -0.114110633963E-04   -0.699789869647E-17   -0.851424550321E+00   -0.819436816280E-02    0.377273355895E-05    0.188530975024E-18   -0.310291649494E-05   -0.541591890519E-18    0.435858780623E-01    0.452218775519E-02    0.365327284402E-06   -0.860589184793E-07   -0.216354400981E-06    0.394289938479E-05   -0.736440665433E-01   -0.164821166986E-03   -0.717705318617E-04   -0.727936433420E-18    0.412945516360E-04   -0.196248646484E-18    0.103035541673E-02    0.627137881416E-04    0.404196698689E-05    0.106436285226E-05   -0.246039318297E-05   -0.111385841156E-05    0.737404771416E-02   
 23.23 -0.606288135384E+00   -0.234598512820E-01   -0.228501929220E-05   -0.845031497596E-02    0.122207199928E-03   -0.101938903774E-17   -0.267574901500E+01   -0.103274148114E-01   -0.162829768740E-06    0.107893703293E-16   -0.108409251966E-04   -0.664752039502E-17   -0.806106806284E+00   -0.754864911557E-02    0.354980180286E-05    0.178729930615E-18   -0.291760727291E-05   -0.506558462658E-18    0.408869522796E-01    0.415251200243E-02    0.340981218155E-06   -0.798155946386E-07   -0.202019517961E-06    0.365473331838E-05   -0.690122245644E-01   -0.150204280289E-03   -0.678571241755E-04   -0.723084704287E-18    0.390373523410E-04   -0.208817391300E-18    0.955544077380E-03    0.569600643189E-04    0.374746511548E-05    0.993669678478E-06   -0.228104940148E-05   -0.103575346333E-05    0.683581873823E-02   
 23.48 -0.566483498378E+00   -0.218039612150E-01   -0.212282558770E-05   -0.780965227196E-02    0.112339314482E-03   -0.980945475983E-18   -0.256258901781E+01   -0.954710026405E-02   -0.136926831808E-06    0.102118244885E-16   -0.103034804751E-04   -0.631804628674E-17   -0.763653359590E+00   -0.696000893225E-02    0.334236028609E-05    0.169581256998E-18   -0.274529023492E-05   -0.474163226940E-18    0.383816838459E-01    0.381657965772E-02    0.318517446776E-06   -0.740848411088E-07   -0.188786471795E-06    0.339041243251E-05   -0.647172164116E-01   -0.137021614678E-03   -0.641977034573E-04   -0.716786144980E-18    0.369270387857E-04   -0.219376510998E-18    0.886883167983E-03    0.517881659180E-04    0.347725842136E-05    0.928423770108E-06   -0.211650696897E-05   -0.963986471321E-06    0.634207842881E-02   
