COLLISION_TYPE= 4
NUMBER_OF_CHANLS=    9
NUMBER_OF_STATES=     35
MATRIX_SIZE=       147
R_GRID_SIZE=    2
  #STATE #CHANNEL J12 M12   J  KA  KC
              96        1  0.000000000000E+00
              96        2  0.000000000000E+00
              97        1 -0.160121705537E-04
              97        2  0.151025498418E-05
              98        1  0.000000000000E+00
              98        2  0.000000000000E+00
              99        1  0.000000000000E+00
              99        2  0.000000000000E+00
             100        1  0.000000000000E+00
             100        2  0.000000000000E+00
             101        1 -0.375572023374E-04
             101        2 -0.406637726874E-04
             102        1  0.166850367937E-04
             102        2  0.229019973697E-05
             103        1  0.000000000000E+00
             103        2  0.000000000000E+00
             104        1 -0.184505652278E-04
             104        2  0.277701173095E-05
             105        1  0.000000000000E+00
             105        2  0.000000000000E+00
             106        1  0.153300067959E-05
             106        2 -0.283351540868E-06
             107        1  0.000000000000E+00
             107        2  0.000000000000E+00
             108        1 -0.452788286919E-04
             108        2 -0.414278301524E-04
             109        1  0.000000000000E+00
             109        2  0.000000000000E+00
             110        1  0.171106719403E-04
             110        2 -0.221371639526E-05
             111        1  0.000000000000E+00
             111        2  0.000000000000E+00
             112        1 -0.747006596930E-04
             112        2 -0.432829084886E-04
             113        1 -0.473793238160E-05
             113        2 -0.110919889114E-05
             114        1  0.000000000000E+00
             114        2  0.000000000000E+00
             115        1  0.202478380992E-04
             115        2 -0.295771292148E-05
             116        1  0.000000000000E+00
             116        2  0.000000000000E+00
             117        1 -0.767388312453E-04
             117        2 -0.436715139692E-04
             118        1  0.000000000000E+00
             118        2  0.000000000000E+00
             119        1  0.156490659524E-04
             119        2 -0.182549617766E-05
             120        1  0.000000000000E+00
             120        2  0.000000000000E+00
             121        1  0.119946584018E-05
             121        2  0.729212180591E-06
             122        1  0.000000000000E+00
             122        2  0.000000000000E+00
             123        1  0.343964286015E-05
             123        2  0.126763928986E-06
             124        1  0.000000000000E+00
             124        2  0.000000000000E+00
             125        1 -0.447750509626E-04
             125        2 -0.410998512278E-04
             126        1  0.206223996018E-04
             126        2  0.254373511805E-05
             127        1  0.000000000000E+00
             127        2  0.000000000000E+00
             128        1  0.165975193515E-04
             128        2 -0.259613446276E-05
             129        1  0.000000000000E+00
             129        2  0.000000000000E+00
             130        1  0.707693308284E-05
             130        2  0.759973421107E-06
             131        1  0.000000000000E+00
             131        2  0.000000000000E+00
             132        1  0.000000000000E+00
             132        2  0.000000000000E+00
             133        1  0.000000000000E+00
             133        2  0.000000000000E+00
             134        1 -0.344884146916E-04
             134        2 -0.405425195753E-04
             135        1  0.000000000000E+00
             135        2  0.000000000000E+00
             136        1  0.156490659524E-04
             136        2 -0.182549617766E-05
             137        1  0.000000000000E+00
             137        2  0.000000000000E+00
             138        1  0.119946584018E-05
             138        2  0.729212180591E-06
             139        1  0.000000000000E+00
             139        2  0.000000000000E+00
             140        1 -0.343964286015E-05
             140        2 -0.126763928986E-06
             141        1  0.000000000000E+00
             141        2  0.000000000000E+00
             142        1 -0.447750509626E-04
             142        2 -0.410998512278E-04
             143        1 -0.473793238160E-05
             143        2 -0.110919889114E-05
             144        1  0.000000000000E+00
             144        2  0.000000000000E+00
             145        1 -0.202478380992E-04
             145        2  0.295771292148E-05
             146        1  0.000000000000E+00
             146        2  0.000000000000E+00
             147        1 -0.767388312453E-04
             147        2 -0.436715139692E-04
