energy#1, (U= 800.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
 110   0.22411507E+02     -0.16040278E-03       0.13753106E-02        0.26705562E+05      0.20168062E-06      0.24424907E-12       0       0
 111   0.22615248E+02     -0.15104980E-03       0.12195843E-02        0.26387128E+05      0.19930327E-06      0.35527137E-12       0       0
 112   0.22818988E+02     -0.14227982E-03       0.10729195E-02        0.26068695E+05      0.19687487E-06      0.53290705E-12       0       0
 113   0.23022729E+02     -0.13403827E-03       0.93476041E-03        0.25738013E+05      0.32796473E-06      0.28865799E-12       0       0
 114   0.23226470E+02     -0.12629423E-03       0.80459416E-03        0.25401209E+05      0.19185942E-06      0.47739590E-12       0       0
 115   0.23430211E+02     -0.11901267E-03       0.68194071E-03        0.25058280E+05      0.18926763E-06      0.10214052E-11       0       0
 116   0.23633952E+02     -0.11216143E-03       0.56635366E-03        0.24709228E+05      0.50493474E-06      0.48849813E-12       0       0
 117   0.23837693E+02     -0.10570396E-03       0.45742096E-03        0.24347928E+05      0.18390506E-06      0.31086245E-12       0       0
 118   0.24041434E+02     -0.99620123E-04       0.35475892E-03        0.23980505E+05      0.18112845E-06      0.44408921E-12       0       0
 119   0.24245175E+02     -0.93884592E-04       0.25800656E-03        0.23606957E+05      0.17828449E-06      0.75495166E-12       0       0
 120   0.24448916E+02     -0.88466554E-04       0.16683099E-03        0.23221163E+05      0.17537012E-06      0.44408921E-12       0       0
 121   0.24652657E+02     -0.83344578E-04       0.80925424E-04        0.22823121E+05      0.25730082E-06      0.33306691E-12       0       0
 122   0.24856398E+02     -0.78506271E-04       0.00000000E+00        0.22418955E+05      0.16931486E-06      0.38857806E-12       0       0
 
