            4816       96  0.103435009061E-06
            4816       97  0.996502021694E-07
            4816       98  0.960373358962E-07
            4816       99  0.925871073747E-07
            4816      100  0.892907963370E-07
            4816      101  0.861402237510E-07
            4817        1 -0.638069066093E-02
            4817        2 -0.395513326636E-02
            4817        3 -0.223351227650E-02
            4817        4 -0.134965988420E-02
            4817        5 -0.861195103250E-03
            4817        6 -0.574138983541E-03
            4817        7 -0.397155274040E-03
            4817        8 -0.282447542270E-03
            4817        9 -0.206371143726E-03
            4817       10 -0.154856781539E-03
            4817       11 -0.118441576435E-03
            4817       12 -0.920034046457E-04
            4817       13 -0.726657688748E-04
            4817       14 -0.582677564382E-04
            4817       15 -0.472973936951E-04
            4817       16 -0.388208509797E-04
            4817       17 -0.321326004352E-04
            4817       18 -0.268202032643E-04
            4817       19 -0.225568501265E-04
            4817       20 -0.190869496403E-04
            4817       21 -0.162306178282E-04
            4817       22 -0.138812469370E-04
            4817       23 -0.119356992271E-04
            4817       24 -0.102961513890E-04
            4817       25 -0.890698567348E-05
            4817       26 -0.773271099142E-05
            4817       27 -0.673796127572E-05
            4817       28 -0.589062855147E-05
            4817       29 -0.516905289055E-05
            4817       30 -0.455366442900E-05
            4817       31 -0.402497994354E-05
            4817       32 -0.356735399451E-05
            4817       33 -0.317110118618E-05
            4817       34 -0.282824875378E-05
            4817       35 -0.252900963684E-05
            4817       36 -0.226667969992E-05
            4817       37 -0.203657984250E-05
            4817       38 -0.183410579394E-05
            4817       39 -0.165499070522E-05
            4817       40 -0.149634162041E-05
            4817       41 -0.135566640275E-05
            4817       42 -0.123049755800E-05
            4817       43 -0.111875744508E-05
            4817       44 -0.101923581449E-05
            4817       45 -0.930235839071E-06
            4817       46 -0.850352596544E-06
            4817       47 -0.778565573604E-06
            4817       48 -0.713933502962E-06
            4817       49 -0.655637726241E-06
            4817       50 -0.602964940415E-06
            4817       51 -0.555292183118E-06
            4817       52 -0.512074158822E-06
            4817       53 -0.472832510563E-06
            4817       54 -0.437146713608E-06
            4817       55 -0.404646325310E-06
            4817       56 -0.375004372207E-06
            4817       57 -0.347931693448E-06
            4817       58 -0.323172090547E-06
            4817       59 -0.300498158803E-06
            4817       60 -0.279707696437E-06
            4817       61 -0.260620604600E-06
            4817       62 -0.243076205372E-06
            4817       63 -0.226930916631E-06
            4817       64 -0.212056232195E-06
            4817       65 -0.198336963725E-06
            4817       66 -0.185669707571E-06
            4817       67 -0.173961505258E-06
            4817       68 -0.163128671072E-06
            4817       69 -0.153095764085E-06
            4817       70 -0.143794685279E-06
            4817       71 -0.135163883229E-06
            4817       72 -0.127147654146E-06
            4817       73 -0.119695524100E-06
            4817       74 -0.112761702934E-06
            4817       75 -0.106304600810E-06
            4817       76 -0.100286399589E-06
            4817       77 -0.946726722617E-07
            4817       78 -0.894320445892E-07
            4817       79 -0.845358938435E-07
            4817       80 -0.799580802301E-07
            4817       81 -0.756747071305E-07
            4817       82 -0.716639067995E-07
            4817       83 -0.679056485770E-07
            4817       84 -0.643815670339E-07
            4817       85 -0.610748078037E-07
            4817       86 -0.579698891114E-07
            4817       87 -0.550525772622E-07
            4817       88 -0.523097745568E-07
            4817       89 -0.497294182820E-07
            4817       90 -0.473003895851E-07
            4817       91 -0.450124311769E-07
            4817       92 -0.428560729332E-07
            4817       93 -0.408225645676E-07
            4817       94 -0.389038146437E-07
            4817       95 -0.370923352752E-07
            4817       96 -0.353811919375E-07
            4817       97 -0.337639578742E-07
            4817       98 -0.322346726392E-07
            4817       99 -0.307878043692E-07
            4817      100 -0.294182154159E-07
            4817      101 -0.281211310138E-07
            4818        1 -0.417587163124E-02
            4818        2 -0.258197543052E-02
            4818        3 -0.136305605473E-02
            4818        4 -0.767360266596E-03
            4818        5 -0.457578566247E-03
            4818        6 -0.286646904694E-03
            4818        7 -0.187329730153E-03
            4818        8 -0.126243350130E-03
            4818        9 -0.871133479824E-04
            4818       10 -0.613358322247E-04
            4818       11 -0.440716954198E-04
            4818       12 -0.323651376328E-04
            4818       13 -0.242748770307E-04
            4818       14 -0.185330143442E-04
            4818       15 -0.143486367672E-04
            4818       16 -0.112644446870E-04
            4818       17 -0.894071794472E-05
            4818       18 -0.717683182079E-05
            4818       19 -0.581772212807E-05
            4818       20 -0.474980184277E-05
            4818       21 -0.389684633352E-05
            4818       22 -0.321822008368E-05
            4818       23 -0.267497290809E-05
            4818       24 -0.223028113444E-05
            4818       25 -0.186420919903E-05
            4818       26 -0.156487500834E-05
            4818       27 -0.132044639751E-05
            4818       28 -0.112009790432E-05
            4818       29 -0.956232359602E-06
            4818       30 -0.821898393305E-06
            4818       31 -0.710181800930E-06
            4818       32 -0.615902262588E-06
            4818       33 -0.536314991497E-06
            4818       34 -0.468857795243E-06
            4818       35 -0.411041102416E-06
            4818       36 -0.361219560775E-06
            4818       37 -0.318292475602E-06
            4818       38 -0.281168229810E-06
            4818       39 -0.248837811362E-06
            4818       40 -0.220661491721E-06
            4818       41 -0.196102695270E-06
            4818       42 -0.174625403755E-06
            4818       43 -0.155712931143E-06
            4818       44 -0.139036952859E-06
            4818       45 -0.124546162525E-06
            4818       46 -0.111842676729E-06
            4818       47 -0.100625906453E-06
            4818       48 -0.906997337641E-07
            4818       49 -0.818972352027E-07
            4818       50 -0.740753823798E-07
            4818       51 -0.671113019872E-07
            4818       52 -0.608991695891E-07
            4818       53 -0.553476218507E-07
            4818       54 -0.503775942433E-07
            4818       55 -0.459205090612E-07
            4818       56 -0.419167527539E-07
            4818       57 -0.383143929104E-07
            4818       58 -0.350680943451E-07
            4818       59 -0.321382010524E-07
            4818       60 -0.294899567291E-07
            4818       61 -0.270928413608E-07
            4818       62 -0.249200052772E-07
            4818       63 -0.229477852611E-07
            4818       64 -0.211552899071E-07
            4818       65 -0.195240435580E-07
            4818       66 -0.180376799078E-07
            4818       67 -0.166816778103E-07
            4818       68 -0.154431330293E-07
            4818       69 -0.143105606635E-07
            4818       70 -0.132737238034E-07
            4818       71 -0.123234846670E-07
            4818       72 -0.114516750346E-07
            4818       73 -0.106509832873E-07
            4818       74 -0.991485575299E-08
            4818       75 -0.923741040744E-08
            4818       76 -0.861336126049E-08
            4818       77 -0.803795200108E-08
            4818       78 -0.750689767775E-08
            4818       79 -0.701633336485E-08
            4818       80 -0.656276891149E-08
            4818       81 -0.614304899557E-08
            4818       82 -0.575431781133E-08
            4818       83 -0.539398781052E-08
            4818       84 -0.505971199481E-08
            4818       85 -0.474935932376E-08
            4818       86 -0.446099286007E-08
            4818       87 -0.419285032332E-08
            4818       88 -0.394332676516E-08
            4818       89 -0.371095911636E-08
            4818       90 -0.349441238698E-08
            4818       91 -0.329246732864E-08
            4818       92 -0.310400939174E-08
            4818       93 -0.292801883051E-08
            4818       94 -0.276356182701E-08
            4818       95 -0.260978252086E-08
            4818       96 -0.246589584457E-08
            4818       97 -0.233118107660E-08
            4818       98 -0.220497603437E-08
            4818       99 -0.208667183864E-08
            4818      100 -0.197570818827E-08
            4818      101 -0.187156909178E-08
            4819        1 -0.236971806187E-02
            4819        2 -0.148656349796E-02
            4819        3 -0.104649631207E-02
            4819        4 -0.749881389550E-03
            4819        5 -0.550699212028E-03
            4819        6 -0.413879046107E-03
            4819        7 -0.316807248727E-03
            4819        8 -0.246467592211E-03
            4819        9 -0.195677386658E-03
            4819       10 -0.158645990042E-03
            4819       11 -0.130364555876E-03
            4819       12 -0.108090064979E-03
            4819       13 -0.904548581288E-04
            4819       14 -0.763662542811E-04
            4819       15 -0.649667456475E-04
            4819       16 -0.556781041271E-04
            4819       17 -0.480341207718E-04
            4819       18 -0.417082107222E-04
            4819       19 -0.364285524470E-04
            4819       20 -0.319796640473E-04
            4819       21 -0.282017561251E-04
            4819       22 -0.249885855374E-04
            4819       23 -0.222364448378E-04
            4819       24 -0.198466478458E-04
            4819       25 -0.177603857209E-04
            4819       26 -0.159378660205E-04
            4819       27 -0.143394147194E-04
            4819       28 -0.129293271945E-04
            4819       29 -0.116846278970E-04
            4819       30 -0.105848876469E-04
            4819       31 -0.960974997052E-05
            4819       32 -0.874205429591E-05
            4819       33 -0.796968565283E-05
            4819       34 -0.728209510529E-05
            4819       35 -0.666701504874E-05
            4819       36 -0.611535391628E-05
            4819       37 -0.562010104042E-05
            4819       38 -0.517433354258E-05
            4819       39 -0.477158082634E-05
            4819       40 -0.440721982206E-05
            4819       41 -0.407716714390E-05
            4819       42 -0.377737455281E-05
            4819       43 -0.350445715558E-05
            4819       44 -0.325617247332E-05
            4819       45 -0.302934656669E-05
            4819       46 -0.282180569744E-05
            4819       47 -0.263174083700E-05
            4819       48 -0.245741683598E-05
            4819       49 -0.229729545080E-05
            4819       50 -0.215001087685E-05
